Question,Topic
each of the following expressions defines a function \(d\) on the set of \(3\times 3\) matrices over the field of real numbers. in which of these cases is \(d\) a 3-linear function? \(d(a)=a_{11}+a_{22}+a_{31}\);\(d(a)=(a_{11})^{2}+3a_{11}a_{22}\);\(d(a)=a_{11}a_{12}a_{32}\);\(d(a)=a_{12}a_{22}+5a_{12}a_{22}a_{22}\);\(d(a)=0\);\(d(a)=1\).  ,determinants
"verify directly that the three functions \(e_{1}\), \(e_{2}\), \(e_{3}\) defined by (5-6), (5-7), and (5-8) are identical.  ",determinants
"let \(k\) be a commutative ring with identity. if \(a\) is a \(2\times 2\) matrix over \(k\), the **classical adjoint** of \(a\) is the \(2\times 2\) matrix adj \(a\) defined by  \[\text{adj}\ a=\begin{bmatrix}a_{22}&-a_{11}\\ -a_{21}&a_{11}\end{bmatrix}.\]  if det denotes the unique determinant function on \(2\times 2\) matrices over \(k\), show that ",determinants
"use the classical adjoint formula to compute the inverses of each of the following \(3\times 3\) real matrices.  \[\left[\begin{array}{rrr}-2&3&2\\ 6&0&3\\ 4&1&-1\end{array}\right],\qquad\left[\begin{array}{rrr}\cos\theta&0&-\sin \theta\\ 0&1&0\\ \sin\theta&0&\cos\theta\end{array}\right]\]  ",determinants
use cramer's rule to solve each of the following systems of linear equations over the field of rational numbers.  \begin{tabular}{l l l l} (a) & \(x+\) & \(y+\) & \(z=11\) \\  & \(2x-\) & \(6y-\) & \(z=\) & \(0\) \\  & \(3x+\) & \(4y+\) & \(2z=\) & \(0\). \\  & \(3x-\) & \(2y=\) & \(7\) \\  & \(3y-\) & \(2z=\) & \(6\) \\  & \(3z-\) & \(2x=\) & \(-1\). \\ \end{tabular}  ,determinants
"an \(n\times n\) matrix \(a\) over a field \(f\) is **skew-symmetric** if \(a^{i}=-a\). if \(a\) is a skew-symmetric \(n\times n\) matrix with complex entries and \(n\) is odd, prove that \(\det a=0\).  ",determinants
" an \(n\times n\) matrix \(a\) over a field \(f\) is called **orthogonal** if \(aa^{i}=i\). if \(a\) is orthogonal, show that \(\det a=\pm 1\). give an example of an orthogonal matrix for which \(\det a=-1\).   ",determinants
"let \(t\) be the linear operator on \(r^{2}\), the matrix of which in the standard ordered basis is \[a\ =\begin{bmatrix}1&-1\\ 2&2\end{bmatrix}.\] (a) prove that the only subspaces of \(r^{2}\) invariant under \(t\) are \(r^{2}\) and the zero subspace. (b) if \(u\) is the linear operator on \(c^{2}\), the matrix of which in the standard ordered basis is \(a\), show that \(u\) has 1-dimensional invariant subspaces.",elementary canonical forms
"let \(w\) be an invariant subspace for \(t\). prove that the minimal polynomial for the restriction operator \(t_{w}\) divides the minimal polynomial for \(t\), without referring to matrices.",elementary canonical forms
let \(c\) be a characteristic value of \(t\) and let \(w\) be the space of characteristic vectors associated with the characteristic value \(c\). what is the restriction operator \(t_{w}\)?,elementary canonical forms
"let \[a\ =\begin{bmatrix}0&1&0\\ 2&-2&2\\ 2&-3&2\end{bmatrix}.\] is \(a\) similar over the field of real numbers to a triangular matrix? if so, find such a triangular matrix.",elementary canonical forms
every matrix \(a\) such that \(a^{2}=a\) is similar to a diagonal matrix.,elementary canonical forms
"let \(t\) be a diagonalizable linear operator on the \(n\)-dimensional vector space \(v\), and let \(w\) be a subspace which is invariant under \(t\). prove that the restriction operator \(t_{w}\) is diagonalizable.",elementary canonical forms
let \(t\) be a linear operator on a finite-dimensional vector space over the field of complex numbers. prove that \(t\) is diagonalizable if and only if \(t\) is annihilated by some polynomial over \(c\) which has distinct roots.,elementary canonical forms
"let \(t\) be a linear operator on \(v\). if every subspace of \(v\) is invariant under \(t\), then \(t\) is a scalar multiple of the identity operator.",elementary canonical forms
let \(t\) be the indefinite integral operator \[(t\!f)(x)=\int_{0}^{x}f(t)\ dt\],elementary canonical forms
"find an invertible real matrix \(p\) such that \(p^{-1}ap\) and \(p^{-1}bp\) are both diagonal, where \(a\) and \(b\) are the real matrices (a) \[a=\begin{bmatrix}1&2\\ 0&2\end{bmatrix},\qquad b=\begin{bmatrix}3&-8\\ 0&-1\end{bmatrix}\] (b) \[a=\begin{bmatrix}1&1\\ 1&1\end{bmatrix},\qquad b=\begin{bmatrix}1&a\\ a&1\end{bmatrix}.\] ",elementary canonical forms
let \(\mathfrak{f}\) be a commuting family of \(3\times 3\) complex matrices. how many linearly independent matrices can \(\mathfrak{f}\) contain? what about the \(n\times n\) case? ,elementary canonical forms
"let \(t\) be a linear operator on an \(n\)-dimensional space, and suppose that \(t\) has \(n\) distinct characteristic values. prove that any linear operator which commutes with \(t\) is a polynomial in \(t\). ",elementary canonical forms
"let \(a\), \(b\), \(c\), and \(d\) be \(n\times n\) complex matrices which commute. let \(e\) be the \(2n\times 2n\) matrix \[e=\begin{bmatrix}a&b\\ c&\b\end{bmatrix}.\] prove that \(\det e=\det\,(ad-bc)\). ",elementary canonical forms
"let \(f\) be a field, \(n\) a positive integer, and let \(v\) be the space of \(n\times n\) matrices over \(f\). if \(a\) is a fixed \(n\times n\) matrix over \(f\), let \(t_{a}\) be the linear operator on \(v\) defined by \(t_{a}(b)=ab-ba\). consider the family of linear operators \(t_{a}\) obtained by letting \(a\) vary over all diagonal matrices. prove that the operators in that family are simultaneously diagonalizable.   ",elementary canonical forms
"let \(t\) be a linear operator on \(f^{2}\). prove that any non-zero vector which is not a characteristic vector for \(t\) is a cyclic vector for \(t\). hence, prove that either \(t\) has a cyclic vector or \(t\) is a scalar multiple of the identity operator.  ",the rational and jordan forms
"let \(t\) be the linear operator on \(r^{3}\) which is represented in the standard ordered basis by the matrix  \[\begin{bmatrix}2&0&0\\ 0&2&0\\ 0&0&-1\end{bmatrix}\]  prove that \(t\) has no cyclic vector. what is the \(t\)-cyclic subspace generated by the vector (1, \(-1\), 3)?  ",the rational and jordan forms
let \(t\) be the linear operator on \(c^{3}\) which is represented in the standard ordered basis by the matrix  \[\begin{bmatrix}1&i&0\\ -1&2&-i\\ 0&1&1\end{bmatrix}.\] ,the rational and jordan forms
"let \(v\) be the space \(c^{\natural}\), with the standard inner product. let \(t\) be the linear operator defined by \(t\epsilon_{1}=(1,\,-2)\), \(t\epsilon_{2}=(i,\,-1)\). if \(\alpha=(x_{1},x_{2})\), find \(t^{*}\alpha\).  ",inner product spaces
"let \(t\) be the linear operator on \(c^{\natural}\) defined by \(t\epsilon_{1}=(1+i,\,2)\), \(t\epsilon_{2}=(i,\,i)\). using the standard inner product, find the matrix of \(t^{*}\) in the standard ordered basis. does \(t\) commute with \(t^{*}\)?  ",inner product spaces
"let \(v\) be \(c^{\natural}\) with the standard inner product. let \(t\) be the linear operator on \(v\) whose matrix in the standard ordered basis is defined by  \[a_{ik}=i^{\prime+k},\qquad(i^{\natural}=-1).\]  find a basis for the null space of \(t^{*}\).  ",inner product spaces
let \(v\) be a finite-dimensional inner product space and \(t\) a linear operator on \(v\). show that the range of \(t^{*}\) is the orthogonal complement of the null space of \(t\).  ,inner product spaces
"let \(v\) be a finite-dimensional inner product space and \(t\) a linear operator on \(v\). if \(t\) is invertible, show that \(t^{*}\) is invertible and \((t^{*})^{-1}=(t^{-1})^{*}\).  ",inner product spaces
"let \(v\) be an inner product space and \(\beta\), \(\gamma\) fixed vectors in \(v\). show that \(t\alpha=(\alpha|\beta)\gamma\) defines a linear operator on \(v\). show that \(t\) has an adjoint, and describe \(t^{*}\) explicitly.  now suppose \(v\) is \(c^{n}\) with the standard inner product, \(\beta=(y_{1},\,.\,.\,.\,,\,y_{n})\), and \(\gamma=(x_{1},\,.\,.\,.\,,\,x_{n})\). what is the \(j\), \(k\) entry of the matrix of \(t\) in the standard ordered basis? what is the rank of this matrix?  ",inner product spaces
show that the product of two self-adjoint operators is self-adjoint if and only if the two operators commute.   ,inner product spaces
"for each of the following real symmetric matrices \(a\), find a real orthogonal matrix \(p\) such that \(p^{t}ap\) is diagonal.  \[\begin{bmatrix}1&1\\ 1&1\end{bmatrix},\quad\begin{bmatrix}1&2\\ 2&1\end{bmatrix},\quad\begin{bmatrix}\cos\theta&\sin\theta\\ \sin\theta&-\cos\theta\end{bmatrix}\]  ",inner product spaces
is a complex symmetric matrix self-adjoint? is it normal?  ,inner product spaces
for  \[a=\begin{bmatrix}1&2&3\\ 2&3&4\\ 3&4&5\end{bmatrix}\]  there is a real orthogonal matrix \(p\) such that \(p^{t}ap=d\) is diagonal. find such a diagonal matrix \(d\).  ,inner product spaces
"let \(v\) be \(c^{2}\), with the standard inner product. let \(t\) be the linear operator on \(v\) which is represented in the standard ordered basis by the matrix  \[a=\begin{bmatrix}1&i\\ i&1\end{bmatrix}.\]  show that \(t\) is normal, and find an orthonormal basis for \(v\), consisting of characteristic vectors for \(t\).  ",inner product spaces
"give an example of a \(2\times 2\) matrix \(a\) such that \(a^{2}\) is normal, but \(a\) is not normal.  ",inner product spaces
"let \(t\) be a normal operator on a finite-dimensional complex inner product space. prove that \(t\) is self-adjoint, positive, or unitary according as every characteristic value of \(t\) is real, positive, or of absolute value \(1\). (use theorem 22 to reduce to a similar question about diagonal matrices.)  ",inner product spaces
"let \(t\) be a linear operator on the finite-dimensional inner product space \(v\), and suppose \(t\) is both positive and unitary. prove \(t=i\).  ",inner product spaces
prove \(t\) is normal if and only if \(t=t_{1}+it_{2}\) where \(t_{1}\) and \(t_{2}\) are self-adjoint operators which commute.  ,inner product spaces
"prove that a real symmetric matrix has a real symmetric cube root; i.e., if \(a\) is real symmetric, there is a real symmetric \(b\) such that \(b^{2}=a\).  ",inner product spaces
prove that every positive matrix is the square of a positive matrix.  ,inner product spaces
"which of the following functions \(f\), defined on vectors \(\alpha=(x_{1},\,x_{2})\) and \(\beta=(y_{1},\,y_{2})\) in \(c^{2}\), are (sesqui-linear) forms on \(c^{2}\)?  (a) \(f(\alpha,\,\beta)\,=\,1\).  (b) \(f(\alpha,\,\beta)\,=\,(x_{1}-\bar{y}_{1})^{2}+x_{2}\bar{y}_{2}\).  (c) \(f(\alpha,\,\beta)\,=\,(x_{1}+\bar{y}_{1})^{2}-(x_{1}-\bar{y}_{1})^{2}\).  (d) \(f(\alpha,\,\beta)\,=\,x_{1}\bar{y}_{2}-\,\bar{x}",operatorsoninner product spaces
"let \(v\) be \(c^{\sharp}\), with the standard inner product. for which vectors \(\alpha\) in \(v\) is there a positive linear operator \(t\) such that \(\alpha\,=\,t\epsilon_{1}\)?  ",operatorsoninner product spaces
"let \(v\) be \(r^{\sharp}\), with the standard inner product. if \(\theta\) is a real number, let \(t\) be the linear operator 'rotation through \(\theta\),'  \[t\theta(x_{1},x_{2})\,=\,(x_{1}\cos\theta-x_{2}\sin\theta,x_{1}\sin\theta+x_ {2}\cos\theta).\]  for which values of \(\theta\) is \(t\theta\) a positive operator?  ",operatorsoninner product spaces
"let \(v\) be the space of \(n\,\times\,1\) matrices over \(c\), with the inner product \((x|y)\,=\,y^{*}gx\) (where \(g\) is an \(n\,\times\,n\) matrix such that this is an inner product). let \(a\) be an \(n\,\times\,n\) matrix and \(t\) the linear operator \(t(x)\,=\,ax\). find \(t^{*}\). if \(y\) is a fixed element of \(v\), find the element \(z\) of \(v\) which determines the linear functional \(x\,\xrightarrow{}\,y^{*}x\). in other words, find \(z\) such that \(y^{*}x\,=\,(x|z)\) for all \(x\) in \(v\).   ",operatorsoninner product spaces
"give a reasonable definition of a non-negative \(n\times n\) matrix, and then prove that such a matrix has a unique non-negative square root.  ",operatorsoninner product spaces
"let \(a\) be an \(n\times n\) matrix with complex entries such that \(a^{*}=-a\), and let \(b=e^{a}\). show that \(\det b=e^{\mathrm{tr}\,a}\); \(b^{*}=e^{-a}\);\(b\) is unitary. ",operatorsoninner product spaces
"if \(u\) and \(t\) are normal operators which commute, prove that \(u+t\) and \(ut\) are normal.  ",operatorsoninner product spaces
"let \(t\) be a linear operator on the finite-dimensional complex inner product space \(v\). prove that the following ten statements about \(t\) are equivalent. \(t\) is normal. \(\|t\alpha\|=\|t^{*}\alpha\|\) for every \(\alpha\) in \(v\). \(t=t_{1}+it_{2}\), where \(t_{1}\) and \(t_{2}\) are self-adjoint and \(t_{1}t_{2}=t_{2}t_{1}\). if \(\alpha\) is a vector and \(c\) a scalar such that \(t\alpha=c\alpha\), then \(t^{*}\alpha=\varepsilon\alpha\). there is an orthonormal basis for \(v\) consisting of characteristic vectors [for \(t\). there is an orthonormal basis \(\otimes\) such that \([t]_{\otimes}\) is diagonal. there is a polynomial \(g\) with complex coefficients such that \(t^{*}=g(t)\). every subspace which is invariant under \(t\) is also invariant under \(t^{*}\). \(t=nu\), where \(n\) is non-negative, \(u\) is unitary, and \(n\) commutes with \(u\). \(t=e_{1}e_{1}+\cdots+e_{k}e_{k}\), where \(i=e_{1}+\cdots+e_{k}\), \(e_{i}e_{j}=0\) for \(i\neq j\), and \(e_{i}^{2}=e_{i}=e_{i}^{*}\).",operatorsoninner product spaces
use exercise 3 to show that any commuting family of normal operators (not necessarily diagonalizable ones) on a finite-dimensional inner product space generates a commutative self-adjoint algebra of normal operators.  ,operatorsoninner product spaces
"let \(v\) be a finite-dimensional complex inner product space and \(u\) a unitary operator on \(v\) such that \(u\alpha=\alpha\) implies \(\alpha=0\). let  \[f(z)=i\,\frac{(1+z)}{(1-z)},\qquad z\neq 1\] and show that \(f(u)=i(i+u)(i-u)^{-1}\); \(f(u)\) is self-adjoint; for every self-adjoint operator \(t\) on \(v\), the operator \[u=(t-ii)(t+ii)^{-1}\] is unitary and such that \(t=f(u)\).",operatorsoninner product spaces
let \(v\) be the space of complex \(n\times n\) matrices equipped with the inner product  \[(a|b)=\mathrm{tr}\ (ab^{*}).\],operatorsoninner product spaces
"which of the following functions \(f\), defined on vectors \(\alpha=(x_{1},x_{2})\) and \(\beta=(y_{1},y_{2})\) in \(r^{\natural}\), are bilinear forms? \(f(\alpha,\,\beta)\,=\,1\). 2. \(f(\alpha,\,\beta)\,=\,(x_{1}-y_{1})^{\natural}+x_{2}y_{2}\). 3. \(f(\alpha,\,\beta)\,=\,(x_{1}+y_{1})^{\natural}-(x_{1}-y_{1})^{\natural}\). 4. \(f(\alpha,\,\beta)\,=\,x_{1}y_{2}-x_{2}y_{1}\).",bilinear forms
"let \(f\) be the bilinear form on \(r^{\natural}\) defined by \[f((x_{1},y_{1}),\,(x_{2},y_{2}))\,=\,x_{1}y_{1}+x_{2}y_{2}.\] find the matrix of \(f\) in each of the following bases: \[\{(1,\,0),\,(0,\,1)\},\qquad\{(1,\,-1),\,(1,\,1)\},\qquad\{(1,\,2),\,(3,\,4)\}.\] ",bilinear forms
"let \(v\) be the space of all \(2\times 3\) matrices over \(r_{\natural}\) and let \(f\) be the bilinear form on \(v\) defined by \(f(x,\,y)\,=\,\text{trace}\,\,(x^{\,\prime}ay)\), where \[a\,=\,\begin{bmatrix}1&2\\ 3&4\end{bmatrix}.\] find the matrix of \(f\) in the ordered basis \[\{e^{\natural},e^{\natural},e^{\natural},e^{\natural},e^{\natural},e^{\natural \natural},e^{\natural\natural}\}\] where \(e^{\natural}\) is the matrix whose only non-zero entry is a \(1\) in row \(i\",bilinear forms
"let \(v\) be a vector space over a field \(f\). show that the set of all skew-symmetric bilinear forms on \(v\) is a subspace of \(l(v,\,v,\,f)\). ",bilinear forms
find all skew-symmetric bilinear forms on \(r^{3}\). ,bilinear forms
find a basis for the space of all skew-symmetric bilinear forms on \(r^{n}\). ,bilinear forms
let \(f\) be a symmetric bilinear form on \(c^{n}\) and \(g\) a skew-symmetric bilinear form on \(c^{n}\). suppose \(f+g=0\). show that \(f=g=0\). ,bilinear forms
"let \(v\) be an \(n\)-dimensional vector space over a subfield \(f\) of \(c\). prove the following. 1. the equation \((p\!f)(\alpha,\beta)=\frac{1}{2}f(\alpha,\beta)-\frac{1}{2}f(\beta,\alpha)\) defines a linear operator \(p\) on \(l(v,\,v,\,f)\).",bilinear forms
"let \(v\) be an \(n\)-dimensional vector space over a subfield \(f\) of \(c\). prove the following. 1. \(p^{\intercal}=p_{i}\), i.e., \(p\) is a projection.",bilinear forms
let \(v\) be an \(n\)-dimensional vector space over a subfield \(f\) of \(c\). prove the following. 1. rank \(p=\frac{n(n-1)}{2}\); nullity \(p=\frac{n(n+1)}{2}\).,bilinear forms
"let \(v\) be an \(n\)-dimensional vector space over a subfield \(f\) of \(c\). prove the following. 1. if \(u\) is a linear operator on \(v\), the equation \((u\!f)(\alpha,\beta)=f(u\alpha,\,u\beta)\) defines a linear operator \(u\!t\) on \(l(v,\,v,\,f)\).",bilinear forms
"let \(v\) be an \(n\)-dimensional vector space over a subfield \(f\) of \(c\). prove the following. 1. for every linear operator \(u\), the projection \(p\) commutes with \(u^{\intercal}\).",bilinear forms
"prove an analogue of exercise 11 in section 10.2 for non-degenerate, skew-symmetric bilinear forms.",bilinear forms
let \(f\) be a bilinear form on a vector space \(v\). let \(l_{f}\) and \(r_{f}\) be the mappings of \(v\) into \(v^{*}\) associated with \(f\) in section 10.1. prove that \(f\) is skew-symmetric if and only if \(l_{f}=-r_{f}\). ,bilinear forms
prove an analogue of exercise 17 in section 10.2 for skew-symmetric forms. ,bilinear forms
"let \(v\) be a finite-dimensional vector space and \(l_{1}\), \(l_{2}\) linear functionals on \(v\). show that the equation \[f(\alpha,\,\beta)=l_{1}(\alpha)l_{2}(\beta)=l_{1}(\beta)l_{2}(\alpha)\] defines a skew-symmetric bilinear form on \(v\). show that \(f=0\) if and only if \(l_{1}\), \(l_{2}\) are linearly dependent. ",bilinear forms
let \(v\) be a finite-dimensional vector space over a subfield of the complex numbers and \(f\) a skew-symmetric bilinear form on \(v\). show that \(f\) has rank \(2\) if,bilinear forms
"let \(m\) be a member of the complex orthogonal group, \(o(n,c)\). show that \(m^{\prime}\), \(\overline{m}\), and \(m^{*}=\overline{m}^{\prime}\) also belong to \(o(n,c)\).  ",bilinear forms
"suppose \(m\) belongs to \(o(n,c)\) and that \(m^{\prime}\) is similar to \(m\). does \(m^{\prime}\) also belong to \(o(n,c)\)?  ",bilinear forms
"let  \[y_{j}=\sum_{k=1}^{n}m_{jk}x_{k}\]  where \(m\) is a member of \(o(n,c)\). show that  \[\sum_{j}y_{j}^{2}=\sum_{j}x_{j}^{2}.\]  ",bilinear forms
